[1] あなたが健康のためにと一生懸命に食べて
[2] いる納豆やラン。
[3] そして体の錆を防ぐためにと積極的に取っ
[4] ているトマト。
[5] 本当に素晴らしい習慣です。
[6] しかしもし今からそれらの素晴らしい食材
[7] よりも安くてトマトの実に5倍も廊下を
[8] 防ぐ。
[9] そして毎日ほんの少し食べ続けるだけで
[10] あなたの筋肉と脳が13倍かもしれない。
[11] こんな奇跡の食材が存在すると言ったら
[12] 信じられますか?
[13] 今回の動画では世界中の最新の研究論文を
[14] 読み明日ってたどり着いた60歳からの脳
[15] の廊下予防に本当に効果のある最強の食品
[16] トップ10をランキング形式で発表します
[17] 。
[18] これはただの健康情報の寄せ集めではあり
[19] ません。
[20] これはあなたの長年の食生活の常識を根底
[21] から覆返し、10年後、20年後もあなた
[22] がクリアな頭脳で人生を心から
[23] 楽しみ尽くすための科学的な道シです。
[24] ランキングの第1位には先ほどお話しした
[25] あの全ての条件を満たす謎の最強食材が
[26] 登場します。
[27] その衝撃の正体を絶対に見逃さないで
[28] ください。
[29] さあ、一緒にあなたの脳を若えらせるたび
[30] に出かけましょう。
[31] このチャンネルでは60歳以上の皆さんに
[32] 向けて健康寿命を伸ばすヒントや暮らしに
[33] 役立つ情報をお届けしています。
[34] 今後の最新情報を見逃さないためにも是非
[35] 今このタイミングでチャンネル登録をして
[36] おいてください。
[37] さあ、それでは早速ランキングの発表です
[38] 。
[39] まずは第10位から第4位までを店舗よく
[40] ご紹介していきましょう。
[41] あなたの普段の食卓に並んでいる食材は
[42] いくつランクインしているでしょうか?
[43] まず第10位。これは日本の誇る飲む健康
[44] 習慣です。緑茶です。
[45] なんだ緑茶かと思いましたか?
[46] しかし海外の研究では緑茶の力は脅異的な
[47] レベルで注目されています。
[48] 緑茶に含まれるポリフェノルの一種家金に
[49] は強力な高参化作用があり、脳細胞が活性
[50] 酸素によって傷つくのを防いでくれます。
[51] さらに旨味成分であるテアニンには脳を
[52] リラックスさせ、集中力を高める効果が
[53] あることも分かっています。
[54] 毎日数杯の緑茶を飲む習慣は最も手軽で
[55] 最も確実な脳の1つなのです。
[56] 続いて第9位。これは完全栄養色の代表格
[57] ですね。卵です。
[58] 一時期コレステロールの悪物として嫌われ
[59] ていましたが、その運命は完全に生きがれ
[60] ています。
[61] ラ、特に乱王に含まれるコリンという成分
[62] は脳の神経伝達物質であるアセチルコリン
[63] の重要な材料となります。
[64] つまり記憶力や判断力を維持するための脳
[65] のガソリンのようなもの。
[66] 60歳を過ぎたらコレステロールを恐れず
[67] 、1日に1個から2個は必ず食べて
[68] いただきたい。最高の食材です。
[69] 続いて第8位。これもまた日本の伝統的な
[70] スーパーフードです。納豆です。
[71] 納豆が脳に良いことは間違いありません。
[72] 納豆に含まれる酵素納豆キナー勢が血液を
[73] さらさにし脳梗速の原因となる。決戦を
[74] 溶かす働きがあることはあまりにも有名
[75] です。
[76] 脳の健康は血管の健康とイコールです。
[77] 血管を綺麗に保つという意味で納豆は脳の
[78] 廊下予防に欠かせない存在なのです。
[79] 続いて第7位食卓を鮮やかに彩るあの野菜
[80] たちです。食野菜、ほれ草、ブロッコリー
[81] など。
[82] ほれ草やブロッコリーといった色の濃い
[83] 野菜には脳の神経細胞を酸ストレスから
[84] 守る要素や認知機能の維持に不可欠な
[85] ビタミンKが豊富に含まれています。
[86] ハーバード大学の大規模な研究ではこれら
[87] の旅行野菜を毎日食べている人はそうで
[88] ない人に比べて脳の廊下がなんと11年も
[89] 遅かったという衝撃的な結果も報告されて
[90] います。
[91] まさに食べる脳の若返り薬ですね。
[92] 続いて第6位。おやつにも最適なカリカリ
[93] としたあの食材です。夏類特にくるみ。
[94] 特にくるみに含まれる良質な支出オメガ
[95] 死肪さんは脳の神経細胞の膜を構成する
[96] 非常に重要な材料です。
[97] いわば脳の建築材料ですね。
[98] さらに強力な降参化物質であるビタミンE
[99] も豊富で脳細胞が錆びつくのを防いでくれ
[100] ます。
[101] 毎日手のひに軽く1杯のナッツを食べる
[102] 習慣があなたの脳の建築とメンテナンスを
[103] 同時に言ってくれるのです。
[104] 続いて第5位小さな紫色の宝石です。
[105] ベリールイブルーベリーなど
[106] ブルーベリーやイチゴといったベリー類に
[107] 含まれる鮮やかな色素成分アントシアニン
[108] このアントシアニンは数あるポリフェノル
[109] の中でも特に脳の効果が高いことで知られ
[110] ています。
[111] 血液脳観問という脳の厳しい石晶を通過
[112] することができ脳の血流を直接増加させ
[113] 神経細胞同士の情報伝達をスムーズにして
[114] くれるのです。
[115] 記憶力が改善したという研究報告も数多く
[116] あります。
[117] さあ、そして第4位日本の食卓の主役の1
[118] つお魚です。青魚、サバ、イワし、アジ
[119] など。
[120] もはや説明不要の最強の脳括食材ですね。
[121] 青魚に豊富に含まれる油DHAEPA。
[122] これらは脳の神経細胞の主要な構成成分で
[123] あり、脳の炎症を抑え情報の伝達効率を
[124] 高めてくれます。
[125] 週に2回から3回青魚を食べる習慣がある
[126] 人はそうでない人に比べてアルツハイマー
[127] 病のリスクが60%も低かったという脅異
